airbnb_id,zipcode,latitude,longitude,city,state,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,host_location,host_neighbourhood,market,smart_location,jurisdiction_names,country_code,country
1874928,60625,41.96592635772914,-87.68311677227946,Chicago,IL,"North Leavitt Street, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Elmhurst, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
739495,60625,41.97799257254454,-87.68120843097282,Chicago,IL,"W Farragut Ave, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
1696051,60625,41.972588062889834,-87.69475440725364,Chicago,IL,"West Carmen Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
5152597,60625,41.96783200829709,-87.69364494638806,Chicago,IL,"North Talman Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
8036094,60625,41.96518198572529,-87.69195587709623,Chicago,IL,"North Campbell Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
7395957,60618,41.96263644364174,-87.68385850923238,Chicago,IL,"W Hutchinson St, Chicago, IL 60618, United States",Lincoln Square,Lincoln Square,NA,US,Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
6316235,60625,41.97342360828903,-87.69635119824875,Chicago,IL,"W Argyle St, Chicago, IL 60625, United States",NA,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
6213619,60640,41.969724518883375,-87.67628102097643,Chicago,IL,"North Wolcott Avenue, Chicago, IL 60640, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
4157774,60625,41.96240379291501,-87.69020773614413,Chicago,IL,"North Campbell Ave, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
1359619,60625,41.977400027353816,-87.6801974001561,Chicago,IL,"West Berwyn Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
6864525,60625,41.97060556467543,-87.680902979984,Chicago,IL,"North Hoyne Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
8043570,60625,41.96825704248686,-87.68226911650358,Chicago,IL,"North Hoyne Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
7637490,60625,41.96716398923999,-87.68877677571618,Chicago,IL,"West Leland Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
6634916,60625,41.97253752040358,-87.69630758908542,Chicago,IL,"West Winnemac Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
3325262,60625,41.96945924343805,-87.69523157477963,Chicago,IL,"West Gunnison Street, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
4488508,60625,41.97138541971268,-87.69233372034138,Chicago,IL,"West Ainslie Street, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
5737004,60640,41.972822302998004,-87.67561765798807,Chicago,IL,"North Wolcott Avenue, Chicago, IL 60640, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
7420598,60625,41.96684144748048,-87.69878391138538,Chicago,IL,"West Giddings Street, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
4045398,60625,41.97647609400002,-87.68537499474732,Chicago,IL,"West Farragut Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
5814832,60640,41.97142486694145,-87.67634945730694,Chicago,IL,"North Winchester Avenue, Chicago, IL 60640, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
6403963,60625,41.96721033034539,-87.69066438073277,Chicago,IL,"N Artesian Ave, Chicago, IL 60625, United States",NA,Lincoln Square,NA,"Chicago, Illinois, United States",NA,Chicago,"Chicago, IL",CHICAGO,US,United States
964467,60625,41.964926867851815,-87.6953886381711,Chicago,IL,"North Rockwell Street, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
6326806,60625,41.97330016510176,-87.6958660401818,Chicago,IL,"West Argyle Street, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
1503962,60625,41.980585437715305,-87.6892452838448,Chicago,IL,"West Balmoral Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
4633440,60625,41.97280966605843,-87.69432614943753,Chicago,IL,"West Argyle Street, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
6585861,60625,41.970051787035345,-87.68436098598136,Chicago,IL,"North Hamilton Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
3912670,60625,41.97787551491296,-87.68704277746586,Chicago,IL,"West Farragut Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
4518079,60625,41.96451596689633,-87.68753576578716,Chicago,IL,"West Wilson Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
6012333,60625,41.971398165145715,-87.69324700516457,Chicago,IL,"West Ainslie Street, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
3468751,60625,41.96641496697617,-87.67978439290876,Chicago,IL,"West Leland Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
7695801,60625,41.96896859853632,-87.69434532051169,Chicago,IL,"W Gunnison St, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
6276987,60625,41.96829520718036,-87.6839327864746,Chicago,IL,"North Bell Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
6713059,60625,41.96747876990389,-87.69185889865197,Chicago,IL,"N Campbell Ave, Chicago, IL 60625, United States",NA,Lincoln Square,NA,"Chicago, Illinois, United States",NA,Chicago,"Chicago, IL",CHICAGO,US,United States
8153968,60625,41.965934203605634,-87.68662853750816,Chicago,IL,"W Wilson Ave, Chicago, IL 60625, United States",NA,Lincoln Square,NA,"Chicago, Illinois, United States",NA,Chicago,"Chicago, IL",CHICAGO,US,United States
7826615,60625,41.96872847063536,-87.69453819906309,Chicago,IL,"North Talman Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
6093933,60625,41.96365966101546,-87.69233937480831,Chicago,IL,"West Sunnyside Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
8153735,60625,41.97228459052832,-87.68856487931562,Chicago,IL,"W Winnemac Ave, Chicago, IL 60625, United States",NA,Lincoln Square,NA,"Sydney, New South Wales, Australia",NA,Chicago,"Chicago, IL",CHICAGO,US,United States
649848,60618,41.96225551942185,-87.68469165358944,Chicago,IL,"N Bell Ave, Chicago, IL 60618, United States",North Center,Lincoln Square,NA,"Chicago, Illinois, United States",North Center,Chicago,"Chicago, IL",CHICAGO,US,United States
7055844,60640,41.97288109166214,-87.67487013600913,Chicago,IL,"West Argyle Street, Chicago, IL 60640, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
895426,60625,41.964941926885395,-87.67828663969942,Chicago,IL,"North Damen Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
3794758,60625,41.971208315336746,-87.68650844491225,Chicago,IL,"W Ainslie St, Chicago, IL 60625, United States",NA,Lincoln Square,NA,US,NA,Chicago,"Chicago, IL",CHICAGO,US,United States
6850175,60625,41.97782016948793,-87.6857442182464,Chicago,IL,"West Farragut Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
6612044,60625,41.971496268666286,-87.69706888263426,Chicago,IL,"West Ainslie Street, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
8627226,60625,41.969088003022385,-87.68272260926385,Chicago,IL,"North Hoyne Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
4907692,60625,41.967364024895915,-87.69906606052606,Chicago,IL,"W Leland Ave, Chicago, IL 60625, United States",NA,Lincoln Square,NA,"Chicago, Illinois, United States",NA,Chicago,"Chicago, IL",CHICAGO,US,United States
8577553,60625,41.977324818333805,-87.68735570930555,Chicago,IL,"West Farragut Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
8037336,60625,41.9732401241122,-87.67969136208396,Chicago,IL,"N Damen Ave, Chicago, IL 60625, United States",NA,Lincoln Square,NA,"Chicago, Illinois, United States",NA,Chicago,"Chicago, IL",CHICAGO,US,United States
8053625,60625,41.97870256607111,-87.67878507340609,Chicago,IL,"North Damen Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
2924561,60625,41.98178907713824,-87.70273490505738,Chicago,IL,"Chicago, IL 60625, United States",NA,Lincoln Square,NA,"Chicago, Illinois, United States",North Park,Chicago,"Chicago, IL",CHICAGO,US,United States
1466368,60625,41.97050888391154,-87.6823449780011,Chicago,IL,"North Hamilton Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
2071269,60625,41.96187105123749,-87.68997277524021,Chicago,IL,"North Western Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
6462163,60625,41.97466245656604,-87.69432309576125,Chicago,IL,"West Winona Street, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
5906280,60625,41.968873804030395,-87.69791666442458,Chicago,IL,"North California Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
6692114,60625,41.98047817272571,-87.6888419937534,Chicago,IL,"West Balmoral Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
7660757,60625,41.961724836734675,-87.69379128025946,Chicago,IL,"North Maplewood Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,US,Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
4004969,60640,41.96406077416129,-87.67727033912537,Chicago,IL,"West Wilson Avenue, Chicago, IL 60640, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
7346134,60625,41.963250105457504,-87.68927489339166,Chicago,IL,"North Western Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
1431467,60625,41.97100922114555,-87.68877623121074,Chicago,IL,"North Western Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
8539761,60625,41.96307509905524,-87.68106336282248,Chicago,IL,"North Seeley Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
7839251,60625,41.9689393729574,-87.68257067066192,Chicago,IL,"North Hoyne Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
6516643,60659,41.98171085659474,-87.69507747623204,Chicago,IL,"North Rockwell Street, Chicago, IL 60659, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Bridgeport,Chicago,"Chicago, IL",CHICAGO,US,United States
6167965,60625,41.980060913229096,-87.6883998253573,Chicago,IL,"W Balmoral Ave, Chicago, IL 60625, United States",NA,Lincoln Square,NA,"Chicago, Illinois, United States",NA,Chicago,"Chicago, IL",CHICAGO,US,United States
6019470,60625,41.98261644670235,-87.67825990694766,Chicago,IL,"North Damen Avenue, Chicago, IL 60625, United States",Lincoln Square,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
1301048,60618,41.9619399577102,-87.6890032665494,Chicago,IL,"North Western Avenue, Chicago, IL 60618, United States",North Center,Lincoln Square,NA,"Chicago, Illinois, United States",Lincoln Square,Chicago,"Chicago, IL",CHICAGO,US,United States
